"id_ciudad","cod_pais","ciudad","latitud","longitud","id_departamento"
597,GT,Chicamán,14.9696418,-89.5424891,120
598,GT,Chiché,14.9696418,-89.5424891,120
599,GT,Chichicastenango,14.9696418,-89.5424891,120
600,GT,Chinique,14.9696418,-89.5424891,120
601,GT,Cunén,14.9696418,-89.5424891,120
602,GT,Ixcán,14.9696418,-89.5424891,120
603,GT,Joyabaj,14.9696418,-89.5424891,120
604,GT,Nebaj,14.9696418,-89.5424891,120
605,GT,Pachalum,14.9696418,-89.5424891,120
606,GT,Patzité,14.9696418,-89.5424891,120
607,GT,Sacapulas,14.9696418,-89.5424891,120
608,GT,San Andrés Sajcabajá,14.9696418,-89.5424891,120
609,GT,San Antonio Ilotenango,14.9696418,-89.5424891,120
610,GT,San Bartolomé Jocotenango,14.9696418,-89.5424891,120
611,GT,San Juan Cotzal,14.9696418,-89.5424891,120
612,GT,San Pedro Jocopilas,14.9696418,-89.5424891,120
613,GT,Santa Cruz del Quiché,14.9696418,-89.5424891,120
614,GT,Uspantán,14.9696418,-89.5424891,120
615,GT,Zacualpa,14.9696418,-89.5424891,120
616,GT,Champerico,14.9696418,-89.5424891,121
617,GT,El Asintal,14.9696418,-89.5424891,121
618,GT,Nuevo San Carlos,14.9696418,-89.5424891,121
619,GT,Retalhuleu,14.9696418,-89.5424891,121
620,GT,San Andrés Villa Seca,14.9696418,-89.5424891,121
621,GT,San Felipe,14.9696418,-89.5424891,121
622,GT,San Martín Zapotitlán,14.9696418,-89.5424891,121
623,GT,San Sebastián,14.9696418,-89.5424891,121
624,GT,Santa Cruz Muluá,14.9696418,-89.5424891,121
625,GT,Alotenango,14.9696418,-89.5424891,122
626,GT,Antigua,14.9696418,-89.5424891,122
627,GT,Ciudad Vieja,14.9696418,-89.5424891,122
628,GT,Jocotenango,14.9696418,-89.5424891,122
629,GT,Magdalena Milpas Altas,14.9696418,-89.5424891,122
630,GT,Pastores,14.9696418,-89.5424891,122
631,GT,San Antonio Aguas Calientes,14.9696418,-89.5424891,122
632,GT,San Bartolomé Milpas Altas,14.9696418,-89.5424891,122
633,GT,San Lucas Sacatepéquez,14.9696418,-89.5424891,122
634,GT,San Miguel Dueñas,14.9696418,-89.5424891,122
635,GT,Santa Catarina Barahona,14.9696418,-89.5424891,122
636,GT,Santa Lucía Milpas Altas,14.9696418,-89.5424891,122
637,GT,Santa María de Jesús,14.9696418,-89.5424891,122
638,GT,Santiago Sacatepéquez,14.9696418,-89.5424891,122
639,GT,Santo Domingo Xenacoj,14.9696418,-89.5424891,122
640,GT,Sumpango,14.9696418,-89.5424891,122
641,GT,Ayutla,14.9696418,-89.5424891,123
642,GT,Catarina,14.9696418,-89.5424891,123
643,GT,Comitancillo,14.9696418,-89.5424891,123
644,GT,Concepción Tutuapa,14.9696418,-89.5424891,123
645,GT,El Quetzal,14.9696418,-89.5424891,123
646,GT,El Rodeo,14.9696418,-89.5424891,123
647,GT,El Tumbador,14.9696418,-89.5424891,123
648,GT,Esquipulas Palo Gordo,14.9696418,-89.5424891,123
649,GT,Ixchiguan,14.9696418,-89.5424891,123
650,GT,La Reforma,14.9696418,-89.5424891,123
651,GT,Malacatán,14.9696418,-89.5424891,123
652,GT,Nuevo Progreso,14.9696418,-89.5424891,123
653,GT,Ocos,14.9696418,-89.5424891,123
654,GT,Pajapita,14.9696418,-89.5424891,123
655,GT,Río Blanco,14.9696418,-89.5424891,123
656,GT,San Antonio Sacatepéquez,14.9696418,-89.5424891,123
657,GT,San Cristóbal Cucho,14.9696418,-89.5424891,123
658,GT,San José Ojetenam,14.9696418,-89.5424891,123
659,GT,San Lorenzo,14.9696418,-89.5424891,123
660,GT,San Marcos,14.9696418,-89.5424891,123
661,GT,San Miguel Ixtahuacán,14.9696418,-89.5424891,123
662,GT,San Pablo,14.9696418,-89.5424891,123
663,GT,San Pedro Sacatepéquez,14.9696418,-89.5424891,123
664,GT,San Rafael Pie de La Cuesta,14.9696418,-89.5424891,123
665,GT,San Sibinal,14.9696418,-89.5424891,123
666,GT,Sipacapa,14.9696418,-89.5424891,123
667,GT,Tacaná,14.9696418,-89.5424891,123
668,GT,Tajumulco,14.9696418,-89.5424891,123
669,GT,Tejutla,14.9696418,-89.5424891,123
670,GT,Barberena,14.9696418,-89.5424891,124
671,GT,Casillas,14.9696418,-89.5424891,124
672,GT,Chiquimulilla,14.9696418,-89.5424891,124
673,GT,Cuilapa,14.9696418,-89.5424891,124
674,GT,Guazacapán,14.9696418,-89.5424891,124
675,GT,Nueva Santa Rosa,14.9696418,-89.5424891,124
676,GT,Oratorio,14.9696418,-89.5424891,124
677,GT,Pueblo Nuevo Viñas,14.9696418,-89.5424891,124
678,GT,San Juan Tecuaco,14.9696418,-89.5424891,124
679,GT,San Rafael Las Flores,14.9696418,-89.5424891,124
680,GT,Santa Cruz Naranjo,14.9696418,-89.5424891,124
681,GT,Santa María Ixhuatán,14.9696418,-89.5424891,124
682,GT,Santa Rosa de Lima,14.9696418,-89.5424891,124
683,GT,Taxisco,14.9696418,-89.5424891,124
684,GT,Concepción,14.9696418,-89.5424891,125
685,GT,Nahualá,14.9696418,-89.5424891,125
686,GT,Panajachel,14.9696418,-89.5424891,125
687,GT,San Andrés Semetabaj,14.9696418,-89.5424891,125
688,GT,San Antonio Palopó,14.9696418,-89.5424891,125
689,GT,San José Chacaya,14.9696418,-89.5424891,125
690,GT,San Juan La Laguna,14.9696418,-89.5424891,125
691,GT,San Lucas Tolimán,14.9696418,-89.5424891,125
692,GT,San Marcos La Laguna,14.9696418,-89.5424891,125
693,GT,San Pablo La Laguna,14.9696418,-89.5424891,125
694,GT,San Pedro La Laguna,14.9696418,-89.5424891,125
695,GT,Santa Catarina Ixtahuacan,14.9696418,-89.5424891,125
696,GT,Santa Catarina Palopó,14.9696418,-89.5424891,125
697,GT,Santa Clara La Laguna,14.9696418,-89.5424891,125
698,GT,Santa Cruz La Laguna,14.9696418,-89.5424891,125
699,GT,Santa Lucía Utatlán,14.9696418,-89.5424891,125
700,GT,Santa María Visitación,14.9696418,-89.5424891,125
701,GT,Santiago Atitlán,14.9696418,-89.5424891,125
702,GT,Sololá,14.9696418,-89.5424891,125
703,GT,Chicacao,14.9696418,-89.5424891,126
704,GT,Cuyotenango,14.9696418,-89.5424891,126
705,GT,Mazatenango,14.9696418,-89.5424891,126
706,GT,Patulul,14.9696418,-89.5424891,126
707,GT,Pueblo Nuevo,14.9696418,-89.5424891,126
708,GT,Río Bravo,14.9696418,-89.5424891,126
709,GT,Samayac,14.9696418,-89.5424891,126
710,GT,San Antonio Suchitepéquez,14.9696418,-89.5424891,126
711,GT,San Bernardino,14.9696418,-89.5424891,126
712,GT,San Francisco Zapotitlán,14.9696418,-89.5424891,126
713,GT,San Gabriel,14.9696418,-89.5424891,126
714,GT,San José El Idolo,14.9696418,-89.5424891,126
715,GT,San Juan Bautista,14.9696418,-89.5424891,126
716,GT,San Lorenzo,14.9696418,-89.5424891,126
717,GT,San Miguel Panán,14.9696418,-89.5424891,126
718,GT,San Pablo Jocopilas,14.9696418,-89.5424891,126
719,GT,Santa Bárbara,14.9696418,-89.5424891,126
720,GT,Santo Domingo Suchitepequez,14.9696418,-89.5424891,126
721,GT,Santo Tomas La Unión,14.9696418,-89.5424891,126
722,GT,Zunilito,14.9696418,-89.5424891,126
723,GT,Momostenango,14.9696418,-89.5424891,127
724,GT,San Andrés Xecul,14.9696418,-89.5424891,127
725,GT,San Bartolo,14.9696418,-89.5424891,127
726,GT,San Cristóbal Totonicapán,14.9696418,-89.5424891,127
727,GT,San Francisco El Alto,14.9696418,-89.5424891,127
728,GT,Santa Lucía La Reforma,14.9696418,-89.5424891,127
729,GT,Santa María Chiquimula,14.9696418,-89.5424891,127
